avg_t,p99_t,n_requests,n_responses,success_percentage,request_qps,response_qps,max_time,n_server_fails,k_client_amplification,n_retries
0.10000000000000318,0.10000000000000853,100,100,100.0,1,10,100,0,1,4
0.10000000000000318,0.10000000000000853,200,200,100.0,2,10,100,0,1,4
0.10000000000000317,0.10000000000000853,300,300,100.0,3,10,100,0,1,4
0.10000000000000318,0.10000000000000853,400,400,100.0,4,10,100,0,1,4
0.10000000000000318,0.10000000000000853,500,500,100.0,5,10,100,0,1,4
0.10000000000000317,0.10000000000000853,600,600,100.0,6,10,100,0,1,4
0.10000000000000317,0.10000000000000853,700,700,100.0,7,10,100,0,1,4
0.10000000000000318,0.10000000000000853,800,800,100.0,8,10,100,0,1,4
0.10000000000000317,0.10000000000000853,900,900,100.0,9,10,100,0,1,4
0.10000000000000318,0.10000000000000853,1000,1000,100.0,10,10,100,0,1,4
0.10000000000000314,0.10000000000000853,101,101,100.0,1,10,100,0,2,4
0.10000000000000314,0.10000000000000853,202,202,100.0,2,10,100,0,2,4
0.10000000000000314,0.10000000000000853,303,303,100.0,3,10,100,0,2,4
0.10000000000000314,0.10000000000000853,404,404,100.0,4,10,100,0,2,4
0.10000000000000316,0.10000000000000853,505,505,100.0,5,10,100,0,2,4
0.4267326732673299,1.1000000000000085,608,606,100.0,6,10,100,0,2,4
35.712244897959195,87.10000000000001,3312,245,34.65346534653465,7,10,100,0,2,4
38.025000000000006,90.10000000000001,3842,240,29.7029702970297,8,10,100,0,2,4
37.93760683760684,89.10000000000001,4351,234,25.742574257425744,9,10,100,0,2,4
39.558333333333344,92.10000000000001,4850,240,23.762376237623762,10,10,100,0,2,4
0.10000000000000313,0.10000000000000853,102,102,100.0,1,10,100,0,3,4
0.10000000000000313,0.10000000000000853,204,204,100.0,2,10,100,0,3,4
0.10000000000000311,0.10000000000000853,306,306,100.0,3,10,100,0,3,4
0.585294117647062,1.1000000000000085,410,408,100.0,4,10,100,0,3,4
25.1,50.1,1005,510,100.0,5,10,100,0,3,4
37.02307692307693,87.10000000000001,2882,234,38.23529411764706,6,10,100,0,3,4
38.667099567099584,89.10000000000001,3402,231,32.35294117647059,7,10,100,0,3,4
39.608620689655176,91.10000000000001,3910,232,28.431372549019606,8,10,100,0,3,4
40.001709401709405,91.10000000000001,4410,234,25.49019607843137,9,10,100,0,3,4
41.14166666666667,94.10000000000001,4910,240,23.52941176470588,10,10,100,0,3,4
0.10000000000000307,0.10000000000000853,103,103,100.0,1,10,100,0,4,4
0.10000000000000307,0.10000000000000853,206,206,100.0,2,10,100,0,4,4
0.7407766990291292,1.1000000000000085,311,309,100.0,3,10,100,0,4,4
3.842718446601945,4.1000000000000085,428,412,100.0,4,10,100,0,4,4
37.16521739130437,86.10000000000001,2415,230,44.66019417475729,5,10,100,0,4,4
39.100000000000016,89.10000000000001,2938,228,36.89320388349515,6,10,100,0,4,4
40.15194805194807,91.10000000000001,3445,231,32.038834951456316,7,10,100,0,4,4
40.289655172413795,92.10000000000001,3948,232,28.155339805825243,8,10,100,0,4,4
40.211111111111116,92.10000000000001,4449,234,25.24271844660194,9,10,100,0,4,4
41.01666666666667,94.10000000000001,4950,240,23.300970873786408,10,10,100,0,4,4
