avg_t,p99_t,read_n,write_n,rho,shards,backpressure
0.2644585774488913,1.2483585774489256,10000,211,0.02,1,1
0.32318453302811795,1.3081845330279975,10000,214,0.02,1,0
0.2316158021198792,1.1999158021199037,10000,386,0.04,1,1
0.9097911999573617,0.9057911999580099,10000,392,0.04,1,0
0.34656797157177033,1.3015679715717852,10000,619,0.06,1,1
0.36293916561511386,1.3209391656155276,10000,613,0.06,1,0
1.0015937539742272,0.9989937539749008,10000,767,0.08,1,1
0.4928676240271246,1.449967624027522,10000,726,0.08,1,0
0.931458065856518,1.916058065856305,10000,1047,0.1,1,1
0.9233076490364587,1.9103076490364401,10000,1015,0.1,1,0
0.9237085650600707,1.906508565059994,10000,1127,0.12,1,1
0.6500528595800861,1.5952528595803699,10000,1136,0.12,1,0
0.7061044293165643,1.6494044293169736,10000,1389,0.14,1,1
0.578739462539256,1.4943394625402107,10000,1370,0.14,1,0
0.5992151384440316,1.5025151384443234,10000,1616,0.16,1,1
0.26783118956100044,2.1084311895601786,10000,1600,0.16,1,0
0.6630413958076841,1.5724413958080277,10000,1668,0.18,1,1
0.42821003319040335,2.2692100331905114,10000,1860,0.18,1,0
0.9478895651464605,1.9049895651467068,10000,1935,0.2,1,1
0.607702228691535,1.478402228693085,10000,2081,0.2,1,0
1.015309403284224,1.9831094032845158,10000,2151,0.22,1,1
0.6463993694999092,2.509599369499483,10000,2143,0.22,1,0
0.7830575208108892,1.6766575208116592,10000,2352,0.24,1,1
1.0002046876909985,1.945904687692007,10000,2466,0.24,1,0
0.8479480709114797,1.7483480709124706,10000,2482,0.26,1,1
0.7787762976826865,2.6400762976825263,10000,2606,0.26,1,0
0.8718814229517804,1.7537814229524429,10000,2813,0.28,1,1
0.5346247456573819,2.2604247456575166,10000,2909,0.28,1,0
0.8180595920254744,2.682859592024215,10000,2895,0.3,1,1
0.6542700222676502,2.435570022267911,10000,2974,0.3,1,0
0.8507250185688244,2.691825018569034,10000,3081,0.32,1,1
0.4606127605333761,2.082712760533525,10000,3248,0.32,1,0
0.7345029664063693,2.509302966406267,10000,3256,0.34,1,1
0.6536930120176928,2.3353930120183577,10000,3394,0.34,1,0
1.030565078685659,1.9335650786865382,10000,3469,0.36,1,1
0.7574859832854767,2.4666859832886985,10000,3636,0.36,1,0
0.9666275530388447,2.806127553039005,10000,3706,0.38,1,1
0.5616497519565479,3.141149751956391,10000,3701,0.38,1,0
0.6771201808107535,2.2936201808115584,10000,3881,0.4,1,1
0.8305454294060178,3.4719454294063326,10000,4012,0.4,1,0
0.6620293846098438,2.2829293846100427,10000,3927,0.42,1,1
0.6303823346089906,3.121982334609129,10000,4208,0.42,1,0
1.0313827539840237,2.853182753983674,10000,4159,0.44,1,1
0.6602179961614869,3.1020179961615213,10000,4391,0.44,1,0
0.6698195052163606,3.1839195052161813,10000,4305,0.46,1,1
0.898581791132286,3.4558817911324695,10000,4536,0.46,1,0
0.7642866316723774,3.3139866316723783,10000,4478,0.48,1,1
1.0346261655735236,3.681526165573814,10000,4738,0.48,1,0
1.0473903394854662,2.7890903394857673,10000,4581,0.5,1,1
0.7758494990041993,4.046149499004059,10000,4991,0.5,1,0
1.0817755179034845,2.8510755179033254,10000,4771,0.52,1,1
0.8308298393452204,4.080129839345318,10000,5188,0.52,1,0
1.1494682850002467,2.927068285000587,10000,4958,0.54,1,1
1.0843607981984702,3.547860798198599,10000,5368,0.54,1,0
1.1131776832632687,2.8146776832636533,10000,5087,0.56,1,1
0.9785644126337558,4.109364412634932,10000,5567,0.56,1,0
0.8360649632710396,3.249564963271041,10000,5125,0.58,1,1
1.1588304815032426,4.401030481503767,10000,5763,0.58,1,0
0.8353409819928999,3.172140981992925,10000,5328,0.6,1,1
1.2633439594836737,4.595843959485119,10000,5933,0.6,1,0
1.1880462345858853,2.9184462345856446,10000,5449,0.62,1,1
1.4717355032998982,5.85693550329961,10000,6186,0.62,1,0
1.1626776332801856,3.8019776332798756,10000,5619,0.64,1,1
1.2550730651072837,6.090473065106835,10000,6431,0.64,1,0
0.9259519768155456,3.198151976816007,10000,5707,0.66,1,1
1.4144658725329566,5.460565872533152,10000,6670,0.66,1,0
1.0322672920805187,3.408367292080584,10000,5841,0.68,1,1
1.4347994120130196,6.18249941201293,10000,6730,0.68,1,0
1.092468477602169,3.4946684776027723,10000,5988,0.7,1,1
1.7990213981040613,6.99732139810385,10000,6976,0.7,1,0
1.0703795731137458,3.4029795731144077,10000,6016,0.72,1,1
1.6568314281407486,6.302331428141201,10000,7160,0.72,1,0
1.0481255846889816,3.277225584689827,10000,6126,0.74,1,1
1.896935807224011,8.320635807223994,10000,7350,0.74,1,0
1.3124520483486994,3.919252048348426,10000,6231,0.76,1,1
2.1618891460359193,8.659189146035715,10000,7743,0.76,1,0
1.1442771230952102,4.325777123094672,10000,6401,0.78,1,1
2.419629338509318,9.833529338508924,10000,7877,0.78,1,0
1.318297036722074,3.8396970367221,10000,6442,0.8,1,1
2.29117858468966,10.171478584688884,10000,7900,0.8,1,0
1.3803018026819303,3.993601802681951,10000,6533,0.82,1,1
2.866313302480533,11.523713302480246,10000,8361,0.82,1,0
1.3176392152731118,3.760639215273386,10000,6676,0.84,1,1
3.0887401620052324,13.124240162005663,10000,8403,0.84,1,0
1.1301694166721967,4.133069416671788,10000,6761,0.86,1,1
3.522918194170616,15.088218194170622,10000,8623,0.86,1,0
1.1379633014810675,4.035463301481286,10000,6845,0.88,1,1
3.995264123486704,19.30196412348687,10000,8779,0.88,1,0
1.4426110117427917,3.9793110117428796,10000,6952,0.9,1,1
4.580082933884991,14.839182933885695,10000,8979,0.9,1,0
1.284972837278305,4.371372837278159,10000,7020,0.92,1,1
5.823724690278959,24.615824690277805,10000,9214,0.92,1,0
1.393036383543501,4.6367363835433935,10000,7035,0.94,1,1
7.198333637009011,22.815833637008836,10000,9379,0.94,1,0
1.2155075801148796,4.008107580115393,10000,7107,0.96,1,1
12.01235840957791,45.92065840957821,10000,9593,0.96,1,0
1.3253144478016408,4.246814447801626,10000,7218,0.98,1,1
38.31219889842291,119.96699889842421,10000,9972,0.98,1,0
0.4967982522568779,0.9130317843555531,10000,996,0.02,5,1
0.6445049050140237,0.8276447228199686,10000,986,0.02,5,0
0.4974626602345021,1.114668864520354,10000,2039,0.04,5,1
0.7231668763748007,0.9628346762108054,10000,1952,0.04,5,0
0.38793388474917573,1.3084326043081091,10000,2996,0.06,5,1
0.4045989861371152,1.1185720147695974,10000,2952,0.06,5,0
0.34527568115351903,1.2951627319476415,10000,3960,0.08,5,1
0.5902231793316425,1.5311169439255536,10000,4125,0.08,5,0
0.4426723602415268,1.5354227008901944,10000,5063,0.1,5,1
0.67640339594711,1.2209961424960056,10000,4937,0.1,5,0
0.5842749265910759,1.483118153471878,10000,5914,0.12,5,1
0.5595574261858159,1.6556952301596084,10000,6045,0.12,5,0
0.735077955367858,1.766985443196745,10000,6788,0.14,5,1
0.732157833591159,1.8021322943204723,10000,6914,0.14,5,0
0.5362130107052239,1.567813051002645,10000,7812,0.16,5,1
0.5826822101229103,1.856630226566267,10000,8012,0.16,5,0
0.4522869700495724,1.6628175880637173,10000,8780,0.18,5,1
0.61809668584812,1.5663401659248848,10000,9039,0.18,5,0
0.6800444442068124,1.9664603072797036,10000,9492,0.2,5,1
0.7082953411333222,1.472877032496399,10000,9538,0.2,5,0
0.5733039875516164,1.5736685622941877,10000,10334,0.22,5,1
0.9066675310894512,1.9066830685754894,10000,10877,0.22,5,0
0.6525919259253254,1.7965597385841952,10000,11264,0.24,5,1
0.6763765666710603,1.640835529186584,10000,11695,0.24,5,0
0.692220117891584,1.6963866302730821,10000,12097,0.26,5,1
0.7802301835741485,1.9761282409626801,10000,13096,0.26,5,0
0.6159434122404422,1.95513923546946,10000,12769,0.28,5,1
0.6618477120471752,2.026519195691435,10000,13931,0.28,5,0
0.8325109881430451,1.7696521198731716,10000,13564,0.3,5,1
0.6170147817392261,2.0204567045166186,10000,15054,0.3,5,0
0.5898059023039014,2.08355950689338,10000,14190,0.32,5,1
0.6308517181123027,2.1006746850361675,10000,15984,0.32,5,0
0.6229078129910967,2.1013508480082237,10000,14717,0.34,5,1
0.8812941255454502,1.9568298667369473,10000,16900,0.34,5,0
0.8851899672251988,1.994415582027159,10000,15376,0.36,5,1
0.7539076573859522,2.245603240247192,10000,18209,0.36,5,0
0.8184842668661045,1.9659167355202953,10000,16103,0.38,5,1
0.8471161398064669,2.392664807244728,10000,18939,0.38,5,0
0.7465155116410753,2.06355554043148,10000,16567,0.4,5,1
0.8364295772181198,2.6836938975966405,10000,19929,0.4,5,0
0.5408138207690132,2.189932871970086,10000,17012,0.42,5,1
0.9369951846202559,2.627783890032788,10000,21211,0.42,5,0
0.7226066528053223,2.0459369063046324,10000,17636,0.44,5,1
0.9656154055164716,2.716697116877185,10000,21692,0.44,5,0
0.6777316438375516,2.182473373065477,10000,17972,0.46,5,1
0.9514879900246149,2.73121479949441,10000,23071,0.46,5,0
0.8354235754041465,2.0893424309160764,10000,18580,0.48,5,1
0.941129616443914,2.939802521762772,10000,24220,0.48,5,0
0.8932990566854827,2.0857998142291763,10000,18981,0.5,5,1
0.9113499953866764,2.8270799700403586,10000,24833,0.5,5,0
0.8570878258107552,2.390026330992441,10000,19235,0.52,5,1
0.9202393097845979,3.091226339527566,10000,25923,0.52,5,0
0.8273622462227442,2.4134872861286567,10000,19539,0.54,5,1
1.0255914894210725,3.1590672892305065,10000,26861,0.54,5,0
0.8682424475435772,2.4498809662700296,10000,19971,0.56,5,1
1.0938506157702057,3.137699647060799,10000,27808,0.56,5,0
0.8164717108029553,2.3158525642437273,10000,20293,0.58,5,1
1.2696877580544277,3.485531867157988,10000,29094,0.58,5,0
0.8044032711252629,2.372860183464809,10000,20543,0.6,5,1
1.279474858233439,3.694041628477862,10000,29782,0.6,5,0
0.8932811758612903,2.137548947915093,10000,20750,0.62,5,1
1.3280294914193986,3.662975491168254,10000,31122,0.62,5,0
0.846120154144834,2.424552169409253,10000,21064,0.64,5,1
1.3594381253278065,3.9322970624161826,10000,31911,0.64,5,0
0.8486403909739891,2.455052608112055,10000,21395,0.66,5,1
1.466602186798876,3.994172988246646,10000,32678,0.66,5,0
0.9640344587737147,2.476604454801418,10000,21518,0.68,5,1
1.56643334206502,4.279323725992526,10000,34097,0.68,5,0
0.8901910631073482,2.4189968461796525,10000,21830,0.7,5,1
1.7859833102347213,4.967244469899924,10000,35361,0.7,5,0
0.8901192573794264,2.6675574412024616,10000,22103,0.72,5,1
1.7998113069347863,4.837551882061243,10000,36073,0.72,5,0
0.9422239297289828,2.542592227284331,10000,22473,0.74,5,1
1.8654034487395423,5.164209369469973,10000,37057,0.74,5,0
0.9453503144581599,2.5607060446864125,10000,22396,0.76,5,1
2.0744641783981645,5.765852612949857,10000,38023,0.76,5,0
0.9431469176632578,2.495032362247457,10000,22538,0.78,5,1
2.2228924134026573,6.053042408614601,10000,38744,0.78,5,0
0.9529272389104994,2.6731793027252024,10000,22882,0.8,5,1
2.567725286912862,6.678126045473618,10000,40086,0.8,5,0
1.0557867813833792,2.688370676776003,10000,22946,0.82,5,1
2.738677679669037,6.8870506720291305,10000,41141,0.82,5,0
0.8324990715692256,2.358639714267156,10000,23204,0.84,5,1
3.0559342256229445,7.528186945382913,10000,42086,0.84,5,0
0.8636191230933442,2.4370919312250408,10000,23382,0.86,5,1
3.5149919260447686,9.01945632002617,10000,42955,0.86,5,0
1.0393341407540628,2.6941367458903187,10000,23397,0.88,5,1
4.3691026240749045,12.0835097481729,10000,44044,0.88,5,0
0.8900980557058983,2.370951702614093,10000,23196,0.9,5,1
4.960427405335978,10.695250257755106,10000,45317,0.9,5,0
0.9097720404442181,2.480508216144699,10000,23579,0.92,5,1
6.437195999908037,16.329001179443367,10000,45885,0.92,5,0
0.938522943101037,2.7324302900069597,10000,23680,0.94,5,1
8.139577786924843,19.018437584151798,10000,46938,0.94,5,0
0.9359081244235554,2.9035164703354894,10000,23620,0.96,5,1
10.334555626478258,21.262466068908907,10000,48037,0.96,5,0
0.9710966647644415,2.815861035231592,10000,23694,0.98,5,1
19.828822738909302,46.28165170925058,10000,49187,0.98,5,0
