avg_t,p99_t,read_n,write_n,rho,shards,backpressure
0.8160827355329645,0.8123827355336743,10000,211,0.02,1,1
0.4009320797369592,1.386232079736601,10000,210,0.02,1,0
0.8459752142989994,0.8378752142998565,10000,390,0.04,1,1
0.4520855171192947,1.4270855171193944,10000,416,0.04,1,0
0.24480907599663632,1.196809075996498,10000,584,0.06,1,1
0.5683182500363417,1.5406182500364594,10000,563,0.06,1,0
0.11251561801396998,1.0366156180143662,10000,745,0.08,1,1
0.45542485763634794,1.4086248576363687,10000,725,0.08,1,0
0.7022899890916947,1.661389989091731,10000,1035,0.1,1,1
0.5266686953892474,1.469068695389069,10000,1003,0.1,1,0
0.3653891053869652,1.2735891053871455,10000,1197,0.12,1,1
0.7085177222727456,1.6557177222730388,10000,1238,0.12,1,0
0.9193544407997911,1.8963544407997688,10000,1345,0.14,1,1
0.2706370326467937,1.1345370326475859,10000,1433,0.14,1,0
0.3576503490843395,1.2227503490848903,10000,1579,0.16,1,1
0.7410699853066157,1.6720699853069618,10000,1569,0.16,1,0
0.718542112163618,1.635642112163623,10000,1782,0.18,1,1
0.645298836407803,1.5439988364087185,10000,1767,0.18,1,0
1.012104369217015,1.9862043692173756,10000,1916,0.2,1,1
0.8604604414279878,1.7847604414282614,10000,2097,0.2,1,0
0.9025281816686316,1.8385281816690622,10000,2170,0.22,1,1
0.6121406441513869,2.458640644150364,10000,2261,0.22,1,0
0.6156156316717104,2.4490156316715,10000,2425,0.24,1,1
0.5697019197954918,2.384201919795487,10000,2403,0.24,1,0
0.7424659991575276,2.6091659991568013,10000,2507,0.26,1,1
0.32390529825478626,2.0237052982556634,10000,2616,0.26,1,0
0.5250593722384203,2.289859372238425,10000,2753,0.28,1,1
0.5315227486550008,2.2735227486554095,10000,2807,0.28,1,0
0.8818710140351014,2.7485710140344963,10000,2935,0.3,1,1
0.6660749013571345,2.4186749013572353,10000,3041,0.3,1,0
0.5527925746630494,2.256692574663248,10000,3190,0.32,1,1
0.7376546960562332,2.491954696056837,10000,3189,0.32,1,0
0.8089931278816268,2.602393127881868,10000,3328,0.34,1,1
0.49709685723479996,3.107396857234562,10000,3359,0.34,1,0
0.44032858876560393,3.004928588765324,10000,3520,0.36,1,1
0.9786753612786717,2.8160753612783083,10000,3558,0.36,1,0
0.8101582824104852,2.5679582824104727,10000,3638,0.38,1,1
0.5072035675264033,3.0046035675268286,10000,3827,0.38,1,0
1.0885588413042095,2.9927588413038393,10000,3843,0.4,1,1
1.0077402100655952,2.7933402100661624,10000,4032,0.4,1,0
0.5475251694381653,3.0859251694373597,10000,3912,0.42,1,1
0.7923748295933776,3.3738748295927508,10000,4231,0.42,1,0
0.7478785079653827,2.389478507966487,10000,4018,0.44,1,1
1.0481627371448548,2.77036273714657,10000,4439,0.44,1,0
0.9915099711193223,2.7618099711196464,10000,4365,0.46,1,1
1.149942966456396,3.8628429664562134,10000,4775,0.46,1,0
1.0244419522579182,2.788841952258281,10000,4518,0.48,1,1
